Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,LR
1,1.0985423874855043,51.30625,0.5738607365638018,74.7875,0.0001
2,0.5918503825664521,73.44375,0.4413716020062566,80.1125,0.0001
3,0.49340765857696534,78.965625,0.4133706847205758,80.6625,0.0001
4,0.4287368948459625,82.125,0.3339091716334224,85.1375,0.0001
5,0.3838127100467682,84.128125,0.3241257332265377,86.1375,0.0001
6,0.3498175103664398,85.83125,0.3086545658297837,86.7625,0.0001
7,0.3193175790309906,87.034375,0.26402417942881584,89.1,0.0001
8,0.30307143557071686,87.834375,0.2905054544098675,88.475,0.0001
9,0.2870999562740326,88.63125,0.22670113714411855,90.8375,0.0001
10,0.2763130484819412,89.103125,0.22943565156310797,90.925,0.0001
11,0.26065092074871066,89.640625,0.20493777841329575,92.025,0.0001
12,0.24592065238952637,90.190625,0.19936378486454487,92.3125,0.0001
13,0.23803344058990478,90.69375,0.2039288110099733,91.975,0.0001
14,0.22921330881118773,91.0875,0.18708651885390282,92.725,0.0001
15,0.22254195463657378,91.290625,0.1837784550152719,92.9625,0.0001
16,0.21666785407066344,91.721875,0.16922371601685882,93.6125,0.0001
17,0.2076874418258667,91.95,0.16769482498057187,93.5375,0.0001
18,0.20754107820987702,92.021875,0.16192338522523642,93.9875,0.0001
19,0.2015025519132614,92.328125,0.15330158825963736,94.4375,0.0001
20,0.19258698987960815,92.546875,0.15621514432132244,93.9375,0.0001
21,0.18963459712266922,92.615625,0.16562030208297074,93.7,0.0001
22,0.19002897942066194,92.6125,0.15234328689984977,94.4875,0.0001
23,0.1851171631217003,92.921875,0.1477791464421898,94.375,0.0001
24,0.1784737957715988,93.18125,0.13954981602728367,94.75,0.0001
25,0.17675179201364516,93.234375,0.14599156146869063,94.5875,0.0001
26,0.17324647033214569,93.446875,0.14395684306509793,94.7,0.0001
27,0.16623346710205078,93.634375,0.13032832345925272,95.1875,0.0001
28,0.16666511231660844,93.74375,0.14131011976860464,94.475,0.0001
29,0.1646745041012764,93.803125,0.124144465662539,95.45,0.0001
30,0.16425056898593904,93.84375,0.12633675429970026,95.4,0.0001
31,0.16115473473072053,94.009375,0.13213785621337593,94.85,0.0001
32,0.1549741182923317,94.121875,0.12676799367181957,95.1,0.0001
33,0.15826158910989763,94.05,0.12368133733980358,95.25,0.0001
34,0.15647564339637757,94.04375,0.11730071366764605,95.5125,0.0001
35,0.1547826835513115,94.26875,0.1310188197530806,94.8625,0.0001
36,0.15138054025173187,94.24375,0.11143287247978151,95.925,0.0001
37,0.1509002673625946,94.328125,0.11816270789131522,95.5875,0.0001
38,0.146226770401001,94.44375,0.11126867705024779,95.775,0.0001
39,0.1464930927157402,94.534375,0.1130289772991091,95.7375,0.0001
40,0.14363327699899672,94.64375,0.10846947599202394,95.8,0.0001
41,0.14544166970252992,94.525,0.1271672744769603,94.9,0.0001
42,0.14442664515972137,94.7125,0.12456518155522645,95.0875,0.0001
43,0.13888404262065887,94.70625,0.11020174948498607,95.8,0.0001
44,0.14005221050977706,94.640625,0.11425826023332775,95.6,0.0001
45,0.13903314280509949,94.846875,0.1082427459768951,95.875,0.0001
46,0.14001112222671508,94.74375,0.10456988867372274,95.975,0.0001
47,0.13462783318758012,94.940625,0.11765518831089139,95.2875,0.0001
48,0.13689340204000472,94.746875,0.11674075084738433,95.4,0.0001
49,0.13586370915174484,94.93125,0.11101191374473274,95.7125,0.0001
