Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,LR
1,2.7225368060762922,26.571875,1.3616712093353271,28.8125,0.0001
2,1.3564721099914065,30.709375,1.3299709558486938,34.3125,0.0001
3,1.3382724485700093,31.971875,1.3256049156188965,53.8875,0.0001
4,1.3318862952883281,31.91875,1.3490124940872192,36.5375,0.0001
5,1.3474386873699369,30.2375,1.3305747509002686,34.1625,0.0001
6,1.3305478455528381,31.95625,1.3032042980194092,20.225,0.0001
7,1.3040701926700653,33.696875,1.3688445091247559,26.8125,0.0001
8,1.3448092180585105,29.0875,1.3715659379959106,27.975,0.0001
9,1.3637381659613714,27.803125,1.3441071510314941,32.0125,0.0001
10,1.310352535474868,31.365625,1.2649420499801636,37.225,0.0001
11,1.2872717834654308,32.45625,1.3141577243804932,31.0625,0.0001
12,1.3446338498403156,28.615625,1.32766592502594,29.9375,0.0001
13,1.345498662146311,28.43125,1.3559032678604126,27.75,0.0001
14,1.2804101081121535,33.44375,1.1644195318222046,46.5875,0.0001
15,1.3382805056042142,28.98125,1.2426726818084717,39.0,0.0001
